id,name,category,primary_muscles,secondary_muscles,difficulty,equipment,exercise_type,sets,seconds_per_set,repetitions_per_set,rest,video,thumbnail,pro_only,uses_weights,thumbnail_url,video_url
86304,"Head to knee forward bend, right",strength,"Abductor, Lower Back, Hamstrings",,Advanced,-,time_based,1,45,,"30,30,30,30,30",2023_id1555m.mp4,3f7fd756c02bd2ad9d7e9a737fa483d9157a.png,TRUE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/3f7fd756c02bd2ad9d7e9a737fa483d9157a.png,https://static.virtuagym.com/videos/2023_id1555m.mp4
104136,"Side plank elbow knee flexion to extension, right",strength,"Glutes, Obliques",Hamstrings,Novice,-,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id1220m.mp4,6ea28033a39992558c45b2e0468bbce5c43c.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/6ea28033a39992558c45b2e0468bbce5c43c.png,https://static.virtuagym.com/videos/2023_id1220m.mp4
86305,"Heron pose, right",strength,"Hamstrings, Quads",,Intermediate,-,time_based,1,45,,"30,30,30,30,30",2023_id1557m.mp4,a9bc0d8f2dbb2443a614c54df514e7b08daa.png,TRUE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/a9bc0d8f2dbb2443a614c54df514e7b08daa.png,https://static.virtuagym.com/videos/2023_id1557m.mp4
104137,"Standing body rotation leg raised, right - PB",strength,Hamstrings,,Beginner,Parallel bars,repetition_based,3,,"20,20,20","30,30,30,30,30",2023_id1222m.mp4,ddcf707681b024a85ff54714618d7137b53f.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/ddcf707681b024a85ff54714618d7137b53f.png,https://static.virtuagym.com/videos/2023_id1222m.mp4
86306,"High lunge, left",strength,"Hamstrings, Glutes",,Intermediate,-,time_based,1,45,,"30,30,30,30,30",2023_id1558m.mp4,0aa769b9d88726e12432bfd13066c312398c.png,TRUE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/0aa769b9d88726e12432bfd13066c312398c.png,https://static.virtuagym.com/videos/2023_id1558m.mp4
104138,"Unilateral floorslide, right",strength,Front Shoulders,"Middle Shoulders, Triceps",Intermediate,-,repetition_based,3,,"20,20,20","30,30,30,30,30",2023_id1224m.mp4,a77e6d13a0dd18a6590796dbe5fa8176f322.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/a77e6d13a0dd18a6590796dbe5fa8176f322.png,https://static.virtuagym.com/videos/2023_id1224m.mp4
86307,"High lunge crescent variation, left",strength,"Quads, Hamstrings, Glutes, Lats, Abs - Straight Abs",,Beginner,-,time_based,1,45,,"30,30,30,30,30",2023_id1559m.mp4,8301a38a9d2f67462f1d638d1c5d65cf9790.png,TRUE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/8301a38a9d2f67462f1d638d1c5d65cf9790.png,https://static.virtuagym.com/videos/2023_id1559m.mp4
104139,"Bent-over ball rolling arm extended, left - FB",strength,Shoulders,,Beginner,Exercise ball,repetition_based,3,,"20,20,20","30,30,30,30,30",2023_id1228m.mp4,73f8c8a5e10082677023885b55bb7a54ebfe.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/73f8c8a5e10082677023885b55bb7a54ebfe.png,https://static.virtuagym.com/videos/2023_id1228m.mp4
86308,"Intense side stretch pose, left",strength,"Hamstrings, Lower Back",,Intermediate,-,time_based,1,45,,"30,30,30,30,30",2023_id1560m.mp4,98d4c95030ae2a5adb1a39fdc9f9c640f2b7.png,TRUE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/98d4c95030ae2a5adb1a39fdc9f9c640f2b7.png,https://static.virtuagym.com/videos/2023_id1560m.mp4
104140,"Balanced kneeling, right",strength,Obliques,,Beginner,-,repetition_based,2,,"20,20","30,30,30,30,30",2023_id1230m.mp4,4c8726472954673f58fc24329627ec26e619.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/4c8726472954673f58fc24329627ec26e619.png,https://static.virtuagym.com/videos/2023_id1230m.mp4
